paymentType,puYear,puMonth,mean_passengerCount,mean_fareAmount,mean_extra,mean_mtaTax,mean_improvementSurcharge,mean_tipAmount,mean_tollsAmount,mean_totalAmount
1,2018,10,1.5580012706321058,13.911099225312894,0.34421267405715655,0.49752166646260715,0.2999157892910201,2.757337699564598,0.41872043747792703,18.23408709067988
1,2018,11,1.5657216264951719,13.84903162357435,0.317982438343562,0.4974620774210023,0.2999208230069767,2.749836248616108,0.4134615789574942,18.133673284279862
1,2018,12,1.5783099391093194,13.64819390771108,0.3253264604622333,0.49727319992028374,0.29991182902076957,2.726941420467782,0.39139206384325553,17.895313225665184
2,2018,10,1.6065704273289587,12.570928831525517,0.3235942231200396,0.4981715103266276,0.2997619869707995,0.00023640278473866205,0.2591304758646403,13.95193969890397
2,2018,11,1.6115775015122666,12.323127489662493,0.2995693039110985,0.49821194718074335,0.29975820570447637,0.00012460572670256817,0.24455845810673887,13.66549051113142
2,2018,12,1.6396398679755737,12.346763279909279,0.3015208971905156,0.49818937754423775,0.30097812374551036,0.0002549449884597178,0.2452108114825604,13.693086835411783
3,2018,10,1.2322142195931454,11.44488157865029,0.293260481813461,0.3931837167821905,0.2476010927727981,-0.0028689801539816214,0.43820234359124877,12.81370820256937
3,2018,11,1.2434825870646766,11.570095522388058,0.2769338308457711,0.38842437810945274,0.24458955223880596,-0.0012524875621890547,0.455726119402985,12.934031840796019
3,2018,12,1.2679511881824022,10.842170584457289,0.27228053949903663,0.3858260757867694,0.2406936416184971,0.00030417469492614,0.42048426461143223,12.160917919075146
4,2018,10,1.2868628640776698,10.37294447815534,0.21203731796116504,0.32114684466019416,0.20040200242718445,-0.004773209951456311,0.47477245145631064,11.575938258495146
4,2018,11,1.2752337955498227,9.764482425024186,0.19731538213479521,0.3046597871654305,0.19164785553047403,0.0025112866817155748,0.3365503063527894,10.797009835536922
4,2018,12,1.3227744807121662,9.04727522255193,0.18846439169139467,0.28890949554896145,0.18160237388724035,-0.0070556379821958455,0.4720326409495549,10.170215875370921
5,2018,10,1.0,37.83,0.0,0.5,0.3,12.05,5.76,56.44
5,2018,11,1.0,4.5,0.0,0.5,0.3,0.0,0.0,5.3
